IPTV,#genre#
CCTV-1,http://192.168.50.222:4022/udp/225.1.1.120:5002
CCTV-2,http://192.168.50.222:4022/udp/225.1.1.133:5002
CCTV-3,http://192.168.50.222:4022/udp/225.1.1.158:5002
CCTV-4,http://192.168.50.222:4022/udp/225.1.1.150:5002
CCTV-5,http://192.168.50.222:4022/udp/225.1.1.160:5002
CCTV-6,http://192.168.50.222:4022/udp/225.1.1.195:5002
CCTV-7,http://192.168.50.222:4022/udp/225.1.1.138:5002
CCTV-8,http://192.168.50.222:4022/udp/225.1.1.196:5002
CCTV-9,http://192.168.50.222:4022/udp/225.1.1.119:5002
CCTV-10,http://192.168.50.222:4022/udp/225.1.1.140:5002
CCTV-12,http://192.168.50.222:4022/udp/225.1.1.142:5002
CCTV-13,http://192.168.50.222:4022/udp/225.1.2.193:5002
CCTV-16,http://192.168.50.222:4022/udp/225.1.2.237:5002
CCTV-5+,http://192.168.50.222:4022/udp/225.1.1.121:5002
风云足球,http://192.168.50.222:4022/udp/225.1.2.168:5002
风云剧场,http://192.168.50.222:4022/udp/225.1.2.174:5002
怀旧剧场,http://192.168.50.222:4022/udp/225.1.2.173:5002
第一剧场,http://192.168.50.222:4022/udp/225.1.2.175:5002
CHC家庭影院,http://192.168.50.222:4022/udp/225.1.1.213:5002
CHC动作电影,http://192.168.50.222:4022/udp/225.1.1.215:5002
CHC影迷电影,http://192.168.50.222:4022/udp/225.1.1.214:5002
天津卫视,http://192.168.50.222:4022/udp/225.1.1.111:5002
天津新闻,http://192.168.50.222:4022/udp/225.1.1.130:5002
天津都市,http://192.168.50.222:4022/udp/225.1.1.128:5002
天津体育,http://192.168.50.222:4022/udp/225.1.1.122:5002
天津文艺,http://192.168.50.222:4022/udp/225.1.1.131:5002
天津影视,http://192.168.50.222:4022/udp/225.1.1.149:5002
天津教育,http://192.168.50.222:4022/udp/225.1.1.129:5002
乐游,http://192.168.50.222:4022/udp/225.1.1.145:5002
北京卫视,http://192.168.50.222:4022/udp/225.1.1.113:5002
辽宁卫视,http://192.168.50.222:4022/udp/225.1.1.154:5002
吉林卫视,http://192.168.50.222:4022/udp/225.1.2.26:5002
黑龙江卫视,http://192.168.50.222:4022/udp/225.1.1.115:5002
安徽卫视,http://192.168.50.222:4022/udp/225.1.1.127:5002
东方卫视,http://192.168.50.222:4022/udp/225.1.2.31:5002
山东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
云南卫视,http://192.168.50.222:4022/udp/225.1.1.250:5002
江苏卫视,http://192.168.50.222:4022/udp/225.1.1.126:5002
浙江卫视,http://192.168.50.222:4022/udp/225.1.1.112:5002
山西卫视,http://192.168.50.222:4022/udp/225.1.1.50:5002
四川卫视,http://192.168.50.222:4022/udp/225.1.1.123:5002
重庆卫视,http://192.168.50.222:4022/udp/225.1.1.155:5002
深圳卫视,http://192.168.50.222:4022/udp/225.1.1.117:5002
广东卫视,http://192.168.50.222:4022/udp/225.1.1.116:5002
河北卫视,http://192.168.50.222:4022/udp/225.1.2.27:5002
湖南卫视,http://192.168.50.222:4022/udp/225.1.1.114:5002
湖北卫视,http://192.168.50.222:4022/udp/225.1.1.147:5002
广西卫视,http://192.168.50.222:4022/udp/225.1.2.81:5002
江西卫视,http://192.168.50.222:4022/udp/225.1.2.29:5002
河南卫视,http://192.168.50.222:4022/udp/225.1.2.61:5002
贵州卫视,http://192.168.50.222:4022/udp/225.1.2.28:5002
甘肃卫视,http://192.168.50.222:4022/udp/225.1.1.159:5002
海南卫视,http://192.168.50.222:4022/udp/225.1.2.82:5002
三沙卫视,http://192.168.50.222:4022/udp/225.1.1.182:5002
精彩影视,http://192.168.50.222:4022/udp/225.1.1.141:5002
都市剧场,http://192.168.50.222:4022/udp/225.1.1.146:5002
欢笑剧场,http://192.168.50.222:4022/udp/225.1.1.139:5002
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
tjfm,#genre#
天津动听885,http://192.168.50.222:4022/udp/225.1.1.180:5002
天津音乐广播,http://192.168.50.222:4022/udp/225.1.1.179:5002
天津滨海广播,http://192.168.50.222:4022/udp/225.1.1.178:5002
天津小说广播,http://192.168.50.222:4022/udp/225.1.1.177:5002
天津相声广播,http://192.168.50.222:4022/udp/225.1.1.176:5002
天津交通广播,http://192.168.50.222:4022/udp/225.1.1.175:5002
天津新闻广播,http://192.168.50.222:4022/udp/225.1.1.173:5002
天津经济广播,http://192.168.50.222:4022/udp/225.1.1.172:5002
天津文艺广播,http://192.168.50.222:4022/udp/225.1.1.171:5002
